vehicle_lat,vehicle_long
40.37556848,-77.01431774
33.50781834,-117.0369024
30.02063979,-75.26922404
36.64922251,-70.1905293
30.00127928,-70.01219476
47.86454911,-119.9983857
33.84639038,-95.94011786
32.60188466,-102.316635
39.78719415,-90.89791849
47.72849911,-113.4135606
33.94773092,-89.51334722
33.47381274,-70.00060314
31.02423581,-74.12216232
49.5652525,-83.84753499
46.91671774,-78.80056147
30.02353101,-113.5446668
44.24001896,-78.48705927
42.06526903,-100.5419546
30.33019653,-70.00096008
30.00513756,-94.51323203
31.26742797,-71.48449219
32.77780729,-81.74929829
45.73032771,-70.4165042
30.68060663,-70.65092247
30.05637647,-84.58532912
39.05978978,-97.9375232
45.53983733,-70.65246698
32.07653913,-76.82880722
30.21299812,-84.30932886
30.03097702,-96.00412471
47.71288144,-70.81209868
30.00006367,-77.80184375
49.51234169,-84.54621955
44.72804403,-90.96583513
47.23078146,-74.3048639
35.193067,-98.51014841
39.81031689,-89.2225923
30.17224695,-71.79966209
41.38629673,-89.33312405
42.56997751,-75.30099274
38.97591823,-77.23662389
30.08390622,-82.05207068
30.00743543,-85.24229165
32.92042371,-88.67670973
47.76451476,-71.38822946
32.93710504,-77.84491339
42.85076083,-75.0991323
39.7240678,-74.42365178
48.09617839,-70.00763294
43.85825658,-97.63932678
31.85776181,-75.50091895
30.00024697,-115.4921685
41.60326781,-119.7927964
30.58983025,-88.83474086
35.17164057,-95.6229443
41.26855662,-91.42462773
48.27493291,-81.53502889
39.54437619,-117.1399493
30.10065136,-90.91477381
47.89654637,-70.31260056
30.51232008,-118.183015
30.89240035,-111.8486179
32.99469131,-85.09560904
39.49517118,-117.8916105
30.06591028,-71.83386024
39.7810806,-70.2922649
30.01612453,-74.37033991
49.94306255,-79.82659301
43.8077265,-97.84508933
47.20026744,-70.00215698
43.18113629,-100.5040992
49.17282368,-70.09634818
44.37302288,-119.8946457
31.26539397,-77.98741574
42.33652287,-71.28255313
43.70009871,-119.4746306
30.06317825,-102.7342735
35.57489538,-104.9355662
49.06731362,-70.03624434
30.24793341,-108.0711118
49.97184541,-70.01295909
30.12912417,-70.77492438
30.00076657,-112.0141999
35.83670775,-115.5752504
46.11330908,-76.07557152
46.49589648,-90.72537393
31.7904695,-119.1567619
39.47034983,-81.37252194
30.28060559,-76.38201929
35.50915401,-82.95444091
42.78611292,-73.39031995
39.02894858,-71.38980382
30.56284591,-84.90296849
49.06836296,-71.39599956
47.13985693,-85.86205813
46.15023915,-73.33944706
30.00067242,-89.43019637
33.75043486,-88.66159824
46.38776864,-74.62783181
